Inventaire;Cote;Rubrique;Genre;Titre;SousTitre;ISBN;Auteur;Illustrateur;Annee;Editeur;Collection;Numero;Support;Mots-clefs;Niveau;Description;Taille;Date achat;Financement;Empruntable
4313;800.000;Lire des histoires;Romans et nouvelles;A la queue Leu Leu;"";978-2-218-92873-4;Charpentier-Grandveau (Cécile);Dankerleroux;2009;Hatier;"";"";Livre;histoire d'animaux;Cycle 2;En ce temps-là, la vie des animaux était pénible : ils n'avaient pas de queue. Le plus petit insecte leur était un tracas. Heureusement, l'Empereur Lion a une idée. ;29 pages;"";"";Oui
4551;630.000;Agriculture;Romans et nouvelles;La ferme;"";2-7459-2018-9;Ledu (Stéphanie);Barborini (Robert);2006;Milan;Mes p'tits docs;"";Livre;agriculture, élevage;Elémentaire;Cocorico ! Perché sur le toit du poulailler, le coq chante. Il est très tôt, mais le fermier et la fermière sont déjà au travail ! Il faut traire les vaches et soigner les cochons, donner du grain aux poules et tondre les moutons. Des textes courts, de belles illustrations et un papier indéchirable font de cette nouvelle collection un outil idéal pour accompagner et guider nos enfants dans la découverte du monde. ;27 pages;"";"";Oui
4542;628.900;Pompiers;Romans et nouvelles;Les pompiers;"";2-7459-1972-5;Ledu (Stéphanie);"";2005;Milan;Mes p'tits docs;"";Livre;incendie;Elémentaire;Pin-Pon ! Sirène hurlante, le camion rouge file à toute allure dans les rues de la ville... Entre les incendies, les accidents et les chats à récupérer sur les toits, les pompiers n'ont pas vraiment de temps à perdre !;27 pages;"";"";Oui
4549;"";Pompiers;Romans et nouvelles;Je suis petite;"";"";Qin (Leng);"";2018;Bayard jeunesse;"";"";Livre;famille;Elémentaire;Moi, c'est mimi. Je suis toute petite, toute mini. J'ai hâte de pousser pou voir le monde comme les grands. Mais à bien y réfléchir, il y a peut-être quelques avantages à être mini...;"";"";"";Oui
4314;"";Pompiers;Romans et nouvelles;Une vache pas cloche;"";"";Faudi-Khourdifi (Viviane);Billon-Spagnol (Estelle);2012;"";"";"";Livre;Animaux;Elémentaire;"";"";"";"";Oui
4316;"";Pompiers;Romans et nouvelles;Le Lapin;"";"";"";"";2004;Dorling kindersley;Regarde-les grandir;"";Livre;Animaux;Elémentaire;"";"";"";"";Oui
4546;"";Pompiers;Romans et nouvelles;Le saut en longeur;"";978-2-38051-099-7;Grimaldi (Virginie);"";2024;Hachette jeunesse;"";"";Livre;sport;Elémentaire;"";"";"";"";Oui
4489;"";Pompiers;Romans et nouvelles;Aux falaises d'Etretat;"";978-2-38051-076-8;Grimaldi (Virginie);"";2024;Hachette jeunesse;"";"";Livre;géographie;Elémentaire;"";"";"";"";Oui
4488;"";Pompiers;Romans et nouvelles;La brebis du Larzac;"";9782380510775;Grimaldi (Virginie);"";"";Hachette jeunesse;"";"";Livre;histoire d'enfants;Elémentaire;"";"";"";"";Oui
4501;"";Pompiers;Romans et nouvelles;La girafe qui avait un torticolis;"";978-2-38051-049-2;Schmitt (Eric-Emmanuel);"";2024;Hachette jeunesse;"";"";Livre;Animaux;Elémentaire;"";"";"";"";Oui
4491;"";Pompiers;Romans et nouvelles;La vallée des Ducs;"";978-2-38051-080-5;Grimaldi (Virginie);"";2024;Hachette jeunesse;"";"";Livre;géographie;Elémentaire;"";"";"";"";Oui
4487;"";Pompiers;Romans et nouvelles;La vallée des Ducs;"";978-2-38051-080-5;Grimaldi (Virginie);"";2024;Hachette jeunesse;"";"";Livre;géographie;Elémentaire;"";"";"";"";Oui
4461;"";Pompiers;Romans et nouvelles;Le Volcan de la Souffrière;"";978-2-38051-074-4;Grimaldi (Virginie);"";2024;Hachette jeunesse;"";"";Livre;géographie;Elémentaire;"";"";"";"";Oui
4486;"";Pompiers;Romans et nouvelles;La vallée des Ducs;"";978-2-38051-080-5;Grimaldi (Virginie);"";2024;Hachette jeunesse;"";"";Livre;géographie;Elémentaire;"";"";"";"";Oui
4317;"";Pompiers;Romans et nouvelles;Cherche et trouve au temps des dinosaures;"";978-2-02-108465-8;Laval (Thierry);"";2013;Seuil jeunesse;"";"";Livre;préhistoire;Elémentaire;"";"";"";"";Oui
4548;"";Pompiers;Romans et nouvelles;Princesses et dragons dans les labyrinthes;"";978-2-01-716067-0;Baruzi (Agnes);"";2022;"";"";"";Livre;jeu;Elémentaire;"";"";"";"";Oui
4318;"";Pompiers;Romans et nouvelles;La fête de l'aigle;"";978-2-218-96970-6;Piquemal (Michel);"";2013;Hatier Jeunesse;"";"";Livre;Animaux;Elémentaire;"";"";"";"";Oui
4312;"";Pompiers;Romans et nouvelles;Une journée inoubliable;"";978-2-87833-682-5;Schaefer (Lola);Meserve (Jessica);2013;"";"";"";Livre;naissance;Elémentaire;"";"";"";"";Oui
4308;"";Pompiers;Romans et nouvelles;Grippé;"";201392922.6;Gambini (Cécile);"";2004;Gautier-languereau;"";"";Livre;maladie;Elémentaire;"";"";"";"";Oui
4287;599.500;Baleines - Dauphins - Cachalots;Romans et nouvelles;Les dauphins;"";978-2-7530-1562-3;McCue (Kenneth);"";2011;Piccolia;Monde merveilleux des animaux en photos;"";Livre;dauphin;Elémentaire;"";62 pages;"";"";Oui
4290;"";Baleines - Dauphins - Cachalots;Romans et nouvelles;Vol sur le Nil;Hercule Carotte, detective;9782218977848;PASCAL (BRISSY);GUILLAUM (TRANNY);"";"";"";"";Livre;voyage;Elémentaire;"";"";"";"";Oui
4288;800.000;Lire des histoires;Romans et nouvelles;Hugo et les rois;Être et Avoir ou Comment accorder les participes passés...;2-85036-978-0;Gaignard (Anne-Marie);Saint Rémy (François);2003;Le Robert;"";"";Livre;français;Cours moyen;Voici l'histoire d'une victoire heureuse et définitive. Les règles de l'accord du participe passé sont compliquées, mais Hugo apprend à les maîtriser. Une fée lui explique tout, avec des mots de tous les jours, et des dessins. Il s'en souviendra toute sa vie. Comme Hugo, votre enfant progressera vite. La fée nous fait rencontrer le gentil roi Etre, préoccupé de ses sujets et facile à vivre. Puis elle nous dévoile les moyens de surmonter les pièges tendus par te méchant roi Avoir. Elle nous montre aussi qu'en cas de bataille c'est te roi gentil qui gagne (" Les chasseurs ont été poursuivis par tes gorilles " : Etre et Avoir sont là ; qui a gagné ?). Enfin, elle nous apprend comment démasquer le roi Avoir, l'usurpateur caché dans les habits de Etre, dans tes phrases comme " Elles se sont parlé à voix basse et se sont dit qu'il fallait partir " ; " La girafe s'est acheté un peigne avant la fête de la savane " ; " Les rois fainéants se sont succédé "... ;46 pages;"";"";Oui
4291;"";Lire des histoires;Romans et nouvelles;HUGO au royaume des sujets dangereux;Accorder les verbes avec les sujets;9782849020593;Gaignard (Anne-Marie);Saint Rémy (François);"";"";"";"";Livre;mer : géologie;Cours moyen;"";"";"";"";Oui
4292;"";Lire des histoires;Romans et nouvelles;HUGO JOUE A CACHE CACHE AVEC LES ROIS;OU COMMENT ACCORDER LES PARTICIPES PASSES DIFFICILES;9782849020586;Gaignard (Anne-Marie);Saint Rémy (François);"";"";"";"";Livre;histoire;Cours moyen;"";"";"";"";Oui
4286;"";Lire des histoires;Romans et nouvelles;LE RIDEAU DE MRS LUGTON;"";"";"";"";"";Seghers;JEUNESSE;"";Livre;Animaux;Cours moyen;"";"";"";"";Oui
4284;"";Lire des histoires;Romans et nouvelles;EN AVANT;LE ROMAN DU FILM;9782017120506;"";"";"";Disney;"";"";Livre;voyage;Cours moyen;"";"";"";"";Oui
4281;800.000;Lire des histoires;Contes;Le baiser de la princesse;"";978-2-35000-561-4;Almena (Fernando);Müller (Ulrike);2010;Oskar jeunesse;Premières lectures;10;Livre;conte;Cycle 2;Il était une fois un prince crapaud transformé en humain par une terrible sorcière. Seul un baiser de la princesse de Crapaudie pourrait rompre le maléfice... ;45 pages;"";"";Oui
4285;"";Lire des histoires;Contes;Une vache à Paris;"";9782953219371;Jouno (Caroline);Cloup (Jérome);"";Un k'noé dans les cloups;"";"";Livre;histoire d'animaux;Cycle 2;"";"";"";"";Oui
4296;"";Lire des histoires;Contes;Mon stress monstre;"";9782211237215;"";DESFORGES (NATHALIE);"";"";L'école des loisirs;"";Livre;légende;Cycle 2;"";"";"";"";Oui
4490;"";Lire des histoires;Contes;Le secret des samourais;"";979-10-94132-46-3;Marc Levy;"";"";"";"";"";Livre;histoire;Elémentaire;"";"";"";"";Oui
4303;800.000;Lire des histoires;Romans et nouvelles;Un grand voyageur;Et autres histoires;978-2-7470-2215-6;Heitz (Bruno);Rébéna (Frédéric);2007;Bayard poche;Mes premiers j'aime lire;38;Livre;histoire d'animaux;Cycle 2;Le renard a plein d'amis : la vache, le castor, le cochon, l'ours... Mais ce n'est pas si facile de se comprendre et de s'aimer quand on est différents ! Vivre ensemble sans se chamailler : voilà le défi que Renard doit relever à tout prix...;29 pages;"";"";Oui
4301;800.000;Lire des histoires;Romans et nouvelles;Le retour d'Archibald;"";978-2-09-251261-6;Ben Kemoun (Hubert);Ehretsmann (Thomas);2007;Nathan;Nathan poche;136;Livre;histoire d'enfants, aventures;Cycle 3;Samuel et Lionel découvrent une statue étrange au bord de la rivière : une statue vivante. Archibald, la statue, a 300 ans, marche, parle et a même un rendez-vous galant. En effet, auparavant il faisait partie d'une sculpture comprenant deux statues et il a été séparé de l'autre, une femme. Samuel et Lionel l'accompagnent donc en ville. ;42 pages;"";"";Oui
4300;800.000;Lire des histoires;Romans et nouvelles;Mort aux bestioles;"";2-07-051754-3;Dussling (Jennifer);Wummer (Amy);1998;Gallimard;Folio benjamin;333;Livre;histoire d'enfants, torture;Cycle 2;Arthur la torture adore écrabouiller les insectes, petites bêtes et autres bestioles. C'est ce qui lui a valu son surnom. Il les pourchasse sans cesse, jusqu'au jour très extraordinaire où... Même si vous n'êtes pas un ennemi des bestioles, vous partagerez les grandes émotions d'Arthur ! ;45 pages;"";"";Oui
4299;800.000;Lire des histoires;Romans et nouvelles;L'oreille du loup;"";2203117435;Fresse (Gilles);Lalonde (Walther);2000;Casterman;Huit & plus;"";Livre;histoire d'enfants, loup;Cycle 3;Le père de Vincent est en prison. Le garçon l'accepte mal et se confie à un vieux loup du zoo. Une fille, témoin de cette conversation, entre en contact avec lui et lui vient en aide. Un récit tonique où les personnages font montre de compréhension et de chaleur humaine.;76 p;"";"";Oui
4298;"";Lire des histoires;Romans et nouvelles;Embelliis ta planete;"";"";"";"";2006;Milan;"";226;Livre;terre;Elémentaire;"";"";"";"";Oui
3568;800.000;Lire des histoires;Album;Litli;Soliquiétude;978-2-915970-15-9;Thevenet (Séverine);"";"";Ou sont les enfants;"";"";Livre;rien;Elémentaire;"";"";"";"";Oui
4564;800.000;Lire des histoires;Album;Cars le nouveau champion;"";9782017040057;Disney (Wald);"";"";Hachette jeunesse;"";"";Livre;rien;Elémentaire;"";"";"";"";Oui
4632;800.000;Lire des histoires;Album;Pat patrouille;Alerte au dragon;"";Nickelodeon;"";"";Hachette jeunesse;La bibliothèque verte;"";Livre;rien;Elémentaire;"";"";"";"";Oui
4631;800.000;Lire des histoires;Album;La pat patrouille;Mission spatiale;9782016271032;Nickelodeon;"";"";Hachette jeunesse;La bibliothèque verte;"";Livre;rien;Elémentaire;"";"";"";"";Oui
4628;800.000;Lire des histoires;Album;Sam le pompier;Animaux en danger;9782011801180;Gimgell;"";"";Hachette jeunesse;La bibliothèque verte;"";Livre;rien;Elémentaire;"";"";"";"";Oui
4563;800.000;Lire des histoires;Album;Sam le pompier;Explorateurs en danger;9782011610225;Gingell;"";"";Hachette jeunesse;"";"";Livre;rien;Elémentaire;"";"";"";"";Oui
4562;800.000;Lire des histoires;Album;La maîtresse en maillot de bain;"";9782298016758;Rouer (Béatrice);"";"";Kestuli;"";"";Livre;rien;Elémentaire;"";"";"";"";Oui
4568;800.000;Lire des histoires;Romans et nouvelles;Jenifer vétérinaire;Il faut sauver Rufus;9782747015448;Costello;"";"";Bayard poche;100% animaux;"";Livre;rien;Elémentaire;"";"";"";"";Oui
4565;800.000;Lire des histoires;Romans et nouvelles;Une bêtise de trop;"";2-7470-0468-6;Bryant (Bonnie);"";2002;Bayard poche;Grand galop;645;Livre;histoire d'animaux;Cycle 3;Cette fois-ci, Steph a vraiment dépassé les bornes... Et ses parents sont intraitables la voilà obligée de rester dans sa chambre pendant une semaine, avec interdiction totale de parler à ses amies. Et, surtout, elle ne pourra pas participer au camp équestre organisé par le Pin creux. Avec la complicité de Mme Reg, Carole et Lisa élaborent un plan pour libérer leur amie...;139 pages;"";"";Oui
4630;800.000;Lire des histoires;Romans et nouvelles;Le mystère des dinosaures à plule;"";"";Levy (Marc);"";"";Hachette jeunesse;Mc do;"";Livre;rien;Cycle 3;"";"";"";"";Oui
4566;800.000;Lire des histoires;Romans et nouvelles;Alice et le diadème;"";2-01-201168-3;Quine (Caroline);Sauvage (Marguerite);2006;Hachette;Les classiques de la verte;9;Livre;policier, aventures;Cycle 3;Voilà Alice et ses amies confrontées à une nouvelle énigme... Quelle est donc cette mystérieuse ombre qui hante chaque nuit la propriété de M. Rorick sur la butte aux pins ? Que cherche-t-elle ? Alice refuse de croire que c'est un fantôme qui traverse les murs, laisse des empreintes étranges et lance ces signaux lumineux qui font frémir les habitants du manoir. Et si ce prétendu fantôme n'était qu'un voleur habile qui tentait de dérober le trésor de la famille Rorick, disparu il y a bien longtemps lors d'un naufrage... ;186 pages;"";"";Oui
4295;800.000;Lire des histoires;Romans et nouvelles;La petite Fadette;"";2-261-00184-3;Sand (George);Verly (Jacqueline);1976;G.P.;Spirale;251;Livre;histoire d'enfants;Cycle 3;"";186 pages;"";"";Oui
4294;800.000;Lire des histoires;Romans et nouvelles;Oui-Oui et les ours en peluche;"";2010194934;Blyton (Enid);"";1993;Hachette;Bibliothèque mini rose;"";Livre;jouet, légende, ours;Cycle 1;Ah ! ces ours en peluche ! Oui-Oui, le petit bonhomme de bois, commence à en avoir assez !. Ils s'échappent de l'Arche de M. Noé, et c'est Oui-Oui qui doit les rattraper. Ils lui chipent son taxi et provoquent des catastrophes dans les rues de Miniville. Avec eux, plus une minute de tranquillité au Pays des Jouets... Ne se calmeront-ils donc jamais ?  Patience, Oui-Oui...;"";"";"";Oui
4289;"";Lire des histoires;Romans et nouvelles;Une vache en vadrouille;"";9782914558969;Jouno (Caroline);Cloup (Jérome);"";K'noé;"";"";Livre;histoire d'animaux;Cycle 1;"";"";"";"";Oui
4604;"";Lire des histoires;Romans et nouvelles;Jules fait son chef;Little pet shop;9782012024328;Katerine quenot;"";"";Hachette;La bibliothèque Hachette des petits;"";Livre;Animaux;Cycle 1;"";"";"";"";Oui
4600;"";Lire des histoires;Romans et nouvelles;Mes amis les chevaux;Un choix difficile;9782012041905;Sophie thalmann;Isabelle mandrou;"";Hachette;Bibliothèque rose;"";Livre;Animaux;Cycle 1;"";"";"";"";Oui
4597;"";Lire des histoires;Romans et nouvelles;Flibuste est un coquin;Sos animaux;"";Daniels (Lucy);"";"";Bayard;Bayard poche;"";Livre;Animaux;Cycle 1;"";"";"";"";Oui
4598;"";Lire des histoires;Romans et nouvelles;Mission ours polaires;Sos animaux;"";Daniels (Lucy);"";"";Bayard;Bayard poche;"";Livre;Animaux;Cycle 1;"";"";"";"";Oui
4603;"";Lire des histoires;Romans et nouvelles;Un hamster trop gourmand;Sos animaux;"";Daniels (Lucy);"";"";Bayard;Bayard poche;"";Livre;Animaux;Cycle 1;"";"";"";"";Oui
4700;"";Lire des histoires;Romans et nouvelles;Superscope n°8;"";"";"";"";2004;Nathan;Superscope;8;Périodique;enfance;Cycle 1;"";"";"";"";Oui
4701;800.000;Lire des histoires;Romans et nouvelles;Superscope n°4;"";"";"";"";2004;Nathan;Superscope;3;Périodique;histoire d'enfants;Cycle 1;"";"";"";"";Oui
121;"";Lire des histoires;Romans et nouvelles;Superscope n°8;"";"";"";"";2004;Nathan;Superscope;8;Périodique;enfance;Cycle 1;"";"";2024-12-06;"";Oui
122;"";Lire des histoires;Romans et nouvelles;Superscope n°8;"";"";"";"";2004;Nathan;Superscope;8;Périodique;enfance;Cycle 1;"";"";2024-12-06;"";Oui
4601;"";Lire des histoires;Romans et nouvelles;Le corps humain;"";9782743418632;Beattie (Caroline);"";"";"";"";"";Livre;corps humain;Cycle 1;"";"";"";"";Oui
4666;590.000;Animaux - Zoologie;Romans et nouvelles;Les animaux surprenants;"";978-2-09-252339-1;Ganeri (Anita);Duquet (Marc);2009;Nathan;Questions/réponses;4;Livre;comportement animal, zoologie;Cycle 2;"";32 pages;"";"";Oui
4623;"";Animaux - Zoologie;Romans et nouvelles;Le corps humain;"";9782298019179;Calabresi (Linda);"";"";France loisirs;"";"";Livre;corps humain;Cycle 2;"";"";"";"";Oui
4615;"";Animaux - Zoologie;Romans et nouvelles;Incroyable inventions;"";9782298045611;"";"";"";France loisirs;"";"";Livre;science appliquée;Cycle 2;"";"";"";"";Oui
4702;"";Animaux - Zoologie;Romans et nouvelles;Superscope n°3;"";9782092091449;"";"";2004;Nathan;Superscope;3;Livre;enfance;Cycle 2;"";"";"";"";Oui
4703;"";Animaux - Zoologie;Romans et nouvelles;Superscope n°2;"";9782092091432;"";"";2004;Nathan;Superscope;"";Périodique;enfance;Cycle 2;"";"";"";"";Oui
4704;"";Animaux - Zoologie;Romans et nouvelles;Superscope n°1;"";9782092091425;"";"";2004;Nathan;Superscope;1;Livre;enfance;Cycle 2;"";"";"";"";Oui
4699;595.796;Fourmis;Romans et nouvelles;Une fourmi verte !;"";2-09-209078-X;Grousset (Alain);Aubrun (Christian);2002;Nathan;Crocoscope;7;Livre;fourmi;Elémentaire;"";31 pages;"";"";Oui
4698;520.000;Astronomie;Romans et nouvelles;Voyager dans l'espace;"";2-09-209049-6;Ben Kemoun (Hubert);Colonel Moutarde;2000;Nathan;Superscope;1;Livre;lune, astronomie, planète;Cours élémentaire;"";47 pages;"";"";Oui
4697;791.000;Spectacles (cinéma, cirque,télé...);Romans et nouvelles;Les larmes des marionnettes;"";2-09-209073-9;Blum (Arturo);Choux (Nathalie);2001;Nathan;Crocoscope;2;Livre;marionnette;Cours élémentaire;l'histoire : les larmes des marionnettes. suivie d'infos et d'activités. ;31 pages;"";"";Oui
4696;"";Spectacles (cinéma, cirque,télé...);Romans et nouvelles;Ratatouille;"";9782298003635;"";"";"";Disney;"";"";Livre;enfance;Cours élémentaire;"";"";"";"";Oui
4695;"";Spectacles (cinéma, cirque,télé...);Romans et nouvelles;Volt;Star malgré lui;9782298015010;"";"";"";Disney;"";"";Livre;enfance;Cours élémentaire;"";"";"";"";Oui
4694;"";Spectacles (cinéma, cirque,télé...);Romans et nouvelles;Le saut en longueur;"";"";"";"";"";Hachette jeunesse;Mc do;"";Livre;enfance;Cours élémentaire;"";"";"";"";Oui
4693;"";Spectacles (cinéma, cirque,télé...);Romans et nouvelles;L'école de Lutte;"";"";"";"";"";Hachette jeunesse;Mc do;"";Livre;enfance;Cours élémentaire;"";"";"";"";Oui
4626;"";Spectacles (cinéma, cirque,télé...);Romans et nouvelles;Sam le Pompier;Une visite à la caserne;9782013991414;"";"";"";Hachette jeunesse;"";"";Livre;enfance;Cours élémentaire;"";"";"";"";Oui
4621;"";Spectacles (cinéma, cirque,télé...);Romans et nouvelles;Run burst day;2/3;9791032712436;Yuko Osada;"";"";Kioon Shonen;"";"";Livre;bande dessinée;Cours élémentaire;"";"";"";"";Oui
3530;"";Spectacles (cinéma, cirque,télé...);Romans et nouvelles;Wakou;"";0998-2221;"";"";"";Milan;Wakou;"";Périodique;zoologie;Cours élémentaire;"";"";"";"";Oui
4665;560.000;Fossiles;Romans et nouvelles;Les dinosaures;"";2-09-209050-X;Lambert (Christophe);"";2000;Nathan;Megascope;1;Livre;dinosaure, fossile;Elémentaire;"";59 pages;"";"";Oui
4613;629.200;Automobile - Vélo - Moto;Romans et nouvelles;Les engins de chantier;"";978-2-7530-1153-3;Collectif;"";2009;Piccolia;Le monde merveilleux en photos;"";Livre;camion;Elémentaire;Le monde merveilleux en photos. Plus de 60 photos pour découvrir les engins de chantier comme tu ne les as jamais vus ! ;45 pages;"";"";Oui
4619;590.000;Animaux - Zoologie;Romans et nouvelles;Les bébés animaux;"";978-2-09-252347-6;Wood (Jenny);"";2009;Nathan;Questions/réponses;12;Livre;zoologie, comportement animal;Cycle 2;Quel père met monde ses petits? Quand le petit tigre quitte-t-il sa mère? Qui se cache dans la forêt? ;32 pages;"";"";Oui
4602;"";Animaux - Zoologie;Romans et nouvelles;La clarinette qui parlait aux oiseaux;"";9791094132630;Jérôme Pelissier;"";"";Hachette jeunesse;"";"";Livre;écologie;Cycle 2;"";"";"";"";Oui
4618;"";Animaux - Zoologie;Romans et nouvelles;Wapiti;On est bien dans les arbres;0984-2314;"";"";"";Milan;"";"";Périodique;rien;Cycle 2;"";"";"";"";Oui
4622;"";Animaux - Zoologie;Romans et nouvelles;Wakou;"";0998-2221;"";"";"";Milan;Wakou;"";Périodique;zoologie;Cycle 2;"";"";"";"";Oui
4616;"";Animaux - Zoologie;Romans et nouvelles;Wapiti;"";0984-2314;"";"";"";Milan;"";"";Périodique;rien;Cycle 2;"";"";"";"";Oui
4609;"";Animaux - Zoologie;Romans et nouvelles;Bravo !;"";9782211229159;Könnecke (Ole);"";"";L'école des loisirs;Minimax;"";Livre;rien;Cycle 2;"";"";"";"";Oui
4608;"";Animaux - Zoologie;Romans et nouvelles;J'apprends à lire;"";1299-1090;"";"";"";Milan;"";"";Périodique;rien;Cycle 2;"";"";"";"";Oui
4612;"";Animaux - Zoologie;Romans et nouvelles;National Géographic;Les fantômes de la forêt;"";"";"";"";Fleurus;"";"";Livre;écologie;Cycle 2;"";"";"";"";Oui
4614;"";Animaux - Zoologie;Romans et nouvelles;National Geographic;La cité sous l'océan;"";"";"";"";Fleurus;"";"";Livre;écologie;Cycle 2;"";"";"";"";Oui
4668;"";Animaux - Zoologie;Romans et nouvelles;Poule coquette;"";9782081427259;Magdalena;"";"";"";"";"";Livre;Animaux;Cycle 2;"";"";"";"";Oui
4624;800.000;Lire des histoires;Album;Mon grand dictionnaire d'Anglais illustré;"";9782733813652;Lallemand (Emmanuelle);"";"";Auzou;"";"";Livre;anglais : langue;Cycle 2;"";"";"";"";Oui
4690;"";Lire des histoires;Album;Une vache en vadrouille;"";9782914558969;Jouno (Caroline);Cloup (Jérome);"";K'noé;"";"";Livre;histoire d'animaux;Cycle 2;"";"";"";"";Oui
4677;"";Lire des histoires;Album;Winnie l'Ourson et l'arbre à miel;Disney;2846340544;"";"";"";Disney Hachette;"";"";Livre;bande dessinée;Grande section;"";"";"";"";Oui
4678;800.000;Lire des histoires;Romans et nouvelles;Cars;"";978-2-84634-651-1;Disney (Wald);"";2012;Hachette;Bibliothèque rose;"";Livre;automobile;Cycle 2;"";40 pages;"";"";Oui
4679;800.000;Lire des histoires;Album;Le monde de Nemo;"";2-84634-360-8;DISNEY;"";2004;Disney Hachette;Disney lecture;"";Livre;aventures, histoire d'animaux;Cycle 1;Nemo, intrépide petit poisson-clown, a été capturé par des plongeurs. Son père, Marin, remue ciel et mer pour le retrouver. Mais le chemin est long et semé d'embûches jusqu'à Sydney où Nemo est enfermé dans un aquarium. Marin, accompagné de son amie Dory, et Nemo, entouré de la bande des Siphonnés du Bocal, pourront-ils, grâce à leurs efforts, être de nouveau réunis ? ;40 pages;"";"";Oui
4635;800.000;Lire des histoires;Album;Blaise et le château d'Anne Hiversère;"";9782211077637;Ponti (Claude);"";2004;Ecole des loisirs;Albums;"";Livre;fête, conte;Cycle 1;Aujourd’hui, ce n’est pas un jour comme les autres. C’est la fête d’Anne Hiversère. Les poussins vont lui construire un grand château. Pour cela, ils vont aller chercher du chocolat dans leur mine de chocolat. Il leur faudra aussi du sucre et de la farine. Et pour avoir du lait, ils iront traire la très très grande vache. Ensuite, ils inviteront des centaines d’amis. Presque tous les personnages de tous les livres et de toutes les histoires qu’ils connaissent. Quand le château sera prêt, ils entreront à l’intérieur et ils le mangeront. Avec tous leurs amis et avec Anne Hiversère. Ce sera une grande et belle fête. Tout va très bien se passer. C’est Blaise, le poussin masqué, qui s’occupe de tout.;44 pages;2025-01-17;"";Oui
4672;"";Lire des histoires;Album;Le cours de hip-hop;"";"";Grimaldi (Virginie);"";"";Hachette jeunesse;Mc do;"";Livre;sport;Cycle 1;"";"";"";"";Oui
4671;"";Lire des histoires;Album;La course de relais;"";"";Grimaldi (Virginie);"";"";Hachette jeunesse;Mc do;"";Livre;sport;Cycle 1;"";"";"";"";Oui
4674;"";Lire des histoires;Album;La course de relais;"";"";Grimaldi (Virginie);"";"";Hachette jeunesse;Mc do;"";Livre;sport;Cycle 1;"";"";"";"";Oui
4569;"";Lire des histoires;Album;Le cours de hip-hop;"";"";"";"";"";Hachette jeunesse;Mc do;"";Livre;sport;Cycle 1;"";"";"";"";Oui
4642;"";Lire des histoires;Album;Le ukulélé qui voulait surfer;"";"";Pancol (Katherine);"";"";Hachette jeunesse;Mc do;"";Livre;musique;Cycle 1;"";"";"";"";Oui
4570;"";Lire des histoires;Album;Quelle audace, les maracas !;"";"";Pancol (Katherine);"";"";Hachette jeunesse;Mc do;"";Livre;musique;Cycle 1;"";"";"";"";Oui
4662;"";Lire des histoires;Album;La clarinette qui parlait aux oiseaux;"";"";Pancol (Katherine);"";"";"";Hachette jeunesse;"";Livre;musique;Cycle 1;"";"";"";"";Oui
4639;"";Lire des histoires;Album;Une aventure avec Mowgli;"";"";Pancol (Katherine);"";"";"";Hachette jeunesse;"";Livre;jungle;Cycle 1;"";"";"";"";Oui
4642;"";Lire des histoires;Album;Le ukulele qui voulait surfer;"";"";Pancol (Katherine);"";"";"";Hachette jeunesse;"";Livre;littoral;Cycle 1;"";"";"";"";Oui
4283;"";Lire des histoires;Album;Sans fmille;"";"";Malot (Hector);"";1960;"";Rouge et or;"";Livre;famille;Cycle 1;"";250 pages;"";"";Oui
4282;"";Lire des histoires;Album;Le bossu;"";"";Feval (Paul);Raffray (Maurice);"";"";"";"";Livre;enfance;Cycle 1;"";"";"";"";Oui
98;800.000;Lire des histoires;Romans et nouvelles;L'oeuf du coq;"";220311133X;Ben Kemoun (Hubert);Heitz (Bruno);1997;Casterman;Je commence à lire;"";Livre;zoo, lecture, poule : animal;Cycle 2;Un coq borgne et maniaque voudrait qu'au zoo, on ne parle plus qu'en «pur français»...Une histoire dans laquelle on apprend que la langue française est une sacrée voleuse.       ;"";"";"";Oui
112;800.000;Lire des histoires;Album;Voleurs de rêves;"";2.84113.235.8;Crozat (François);Monconble (Gérard);1995;Milan;"";"";Livre;histoire d'enfants;Cours préparatoire;"";17 pages;"";"";Oui
42;"";Lire des histoires;Album;La reine des bisous;"";9782211071789;Aertssen (Kristien);"";"";Pastel;"";"";Livre;reine;Cours préparatoire;"";"";"";"";Oui
170;800.000;Lire des histoires;Album;Les malheurs d'Arlette, la chouette;"";2-211-03681-3;Fauroux (Catherine);Melano (Olivier);1996;Ecole des loisirs;Archimède;"";Livre;chouette, histoire d'animaux,;Cycle 2;Difficile de dormir lorsqu'on travaille la nuit et que l'on a des voisins bruyants. C'est ce qui arrive à Arlette la chouette, constamment réveillée par les habitants de la forêt. Impossible de fermer l'oeil de la journée ! Un conte burlesque pour faire connaissance avec la chouette chevêche et les animaux des bois.;25 pages;"";"";Oui
259;800.000;Lire des histoires;Album;Chien bleu;"";"";Nadja;Nadja;1989;Ecole des loisirs;Albums;"";Livre;histoire d'enfants, chien : zo;Cycle 2;Un chien se lie d'amitié avec une petite fille.La maman de celle-ci refuse de garder l'animal.Pourtant un peu plus tard il sauvera l'enfant d'un terrible danger.;34 p.;"";"";Oui
158;800.000;Lire des histoires;Album;1-2-3 suivez-moi...;"";2217740016;Erhardy (Mélanie);Erhardy (Mélanie);1988;Gautier-languereau;"";"";Livre;histoire d'enfants;Cycle 2;"";10;"";"";Oui
