dc.title,dc.identifier,dc.creator,dc.contributor,dc.subject,dc.description,dc.publisher,dc.date,dc.type,dc.format,dc.source,dc.relation,dc.coverage,dc.rights,item.id,item.callNumber,item.acquisitionDate,item.fundingSource
La chanson de l'arbre,,"Bickford-Smith, Coralie",,contes,,Gallimard jeunesse,,Text,,,,Cycle 1,Loanable,3601,,2023-01-06,
Le ver et l'oiseau,,"Bickford-Smith, Coralie",,contes,,Gallimard jeunesse,,Text,,,,Cycle 1,Loanable,3598,,2023-01-06,
Les peintures de Michel-Ange,,"Levy, Marc","Hinder, Carine",contes,,Hachette jeunesse,,Text,,,,Cycle 1,Loanable,3714,,2023-01-06,
Les fauves de Cléopatre,,"Levy, Marc","Hinder, Carine",contes,,Hachette jeunesse,,Text,,,,Cycle 1,Loanable,3713,,2023-01-06,
Le mariage de Simon,,"Vaugelade, Anaïs","Desarthe, Agnés",contes,,,,Text,,,,Cycle 1,Loanable,3570,,2023-01-06,
Momo et le messager du soleil,,"Sasano, Marie",,bande dessinée,,Kloon Kids,,Text,,,,Cycle 1,Loanable,3654,,2023-01-06,
La laitère et le pot de lait,,"JARDIN, ALEXANDRE","Multier, Fred",contes,,,,Text,,,,Cycle 1,Loanable,3705,,2023-01-06,
La clarinette qui parlait aux oiseaux,,"Pancol, Katherine","Pélissier, Jérôme",contes,,Hachette,,Text,,,,Cycle 1,Loanable,3706,,2023-01-06,
"Quelle audace, les maracas",,"Pancol, Katherine","Pélissier, Jérôme",contes,,,,Text,,,,Cycle 1,Loanable,3710,,2023-01-06,
Le Tunnel,,"Browne, Anthony",,aventures,,Kaleidoscope,2006,Text,,,,Cycle 1,Loanable,3555,,,
Sous le jardin,,"Guérineau, Stéphanie",,aventures,,Frimousse,2015,Text,,,,Cycle 1,Loanable,3574,,,
Sons et joies de Noel,2-84196-508-2,,"Matthews, Derek",Noël,,Quatre fleuves,2005,Text,,,,Cycle 1,Loanable,30120,,,
Les belles histoires de Pomme d'Api: Le prince Olivier ne veut pas se laver,0396-0862,,,château,,Bayard,,Text;Periodical,,,,Cycle 1,Loanable,3599,,,
Mort de lire: Une rentrée chouette,,,,humour,,,,Text,,,,Cycle 1,Loanable,3597,,2023-02-03,
Je lis déjà: Le géant,,,,humour,,,,Text,,,,Cycle 1,Loanable,3592,,2023-02-03,
Le déjeuner de la petite ogresse,,"Vaugelade, Anaïs",,conte,,Ecole des loisirs,,Text,,,,Cycle 1,Loanable,3604,,,
National géographic Kids: Festival des requins,,,,poisson,,,,Text;Periodical,,,,Cycle 1,Loanable,3726,,,
"GEO ADO: 2 parents, 2 pays c'est deux fois mieux",,,,famille,,,,Text;Periodical,,,,Cycle 1,Loanable,3590,,,
GEO ADO: Au secours des orangs-outans,,,,singe,,,,Text;Periodical,,,,Cycle 1,Loanable,3589,,,
Mon journal animal: Qui sont les poissons,,,,poisson,,,,Text;Periodical,,,,Cycle 1,Loanable,3603,,,
Magazine Manon: Sur le chemin de l'école,,,,école,,,,Text;Periodical,,,,Cycle 1,Loanable,3595,,,
Mille et une histoire: Tes jolis contes de l'été,,,,conte,,,,Text;Periodical,,,,Cycle 1,Loanable,3704,,,
La pérruque du Roi-soleil: Le club des aventuriers de l'histoire,,"Levy, Marc","Hinder, Carine",histoire,,Hachette jeunesse,,Text,,,,Cycle 1,Loanable,3709,,,
Curionautes des sciences: Mais comment le soleil a disparu ?,,,,science appliquée,,,,Text;Periodical,,,,Cycle 1,Loanable,3596,,,
WAPITI Touche pas à mon gouter: Avril 2021 n°409,,,,Animaux,,,,Text;Periodical,,,,Cycle 1,Loanable,3594,,,
WAPITI n°414 Septembre 2021: Chut je réflechis,,,,Animaux,,,,Text;Periodical,,,,Cycle 1,Loanable,3591,,,
Wakou n°403 Octobre 2022: Coucou Petite marmotte,,,,Animaux,,,,Text;Periodical,,,,Cycle 1,Loanable,3716,,,
Wakou n° 400,0998-2221,,,zoologie,,Milan,2022,Text;Periodical,,Wakou,400,Cycle 1,Loanable,3586,,,
Wakou n° 398,0998-2221,,,zoologie,,Milan,2022,Text;Periodical,,Wakou,398,Cycle 1,Loanable,3587,,,
Wakou n° 399,0998-2221,,,zoologie,,Milan,2022,Text;Periodical,,Wakou,399,Cycle 1,Loanable,3588,,,
L'ours barnabé: Gardons l'équilibre,2-7404-0689-4,"Coudray, Philippe",,humour|ours,,Mango,1997,Text,46 pages,,,Elémentaire,Loanable,3579,800.000,,
WAPITI N°58,,,,rien,,,,Text;Periodical,,,,Elémentaire,Loanable,3608,,,
La nature du plus près au plus loin,2-07-055355-8,"Mettler, René",,écologie,"Sujet : Deux énormes boules rouges, qu'est-ce donc ? A la page suivante, on a pris du recul et on reconnait des cerises. En s'éloignant encore puis encore, on découvre le cerisier, dans le jardin d'une maison de village, dans la campagne agricole. Puis à côté du village, une forêt. On zoom alors dans l'autre sens, de plus en plus au fil des pages jusqu'à apercevoir une framboise en gros plan. Commentaire : Ce livre utilise une technique cinématographique, le zoom (avant et arrière), pour apprendre à observer. De cette observation libre l'enfant peut découvrir plusieurs aspects : la vue aérienne, l'échelle, les tailles des choses relatives à la distance à laquelle on les regarde... Un texte d'une ligne en bas du dessin guide l'observation. Le dessin est réaliste et contient de nombreux détails à découvrir en «lisant» l'image. Enfin la première page explique l'objectif de ce livre.",Gallimard jeunesse,2004,Text,40 pages,,,Elémentaire,Loanable,3553,577.000,,
Purée de cochons,978-2-278-08192-9,"Servant, Stéphane","Le Saux, Laetitia",histoire d'animaux,"Je fais de la purée de petits cochons. Pour un, pour deux, pour trois, pour... moi !",Didier Jeunesse,2016,Text,28 pages,,,Cycle 2,Loanable,3564,800.000,,
DIEGO LE DOMPTEUR,9782848656540,"Veldkamp, Tjibbe",,rien,,Sarbacane,2003,Text,,,,Cycle 2,Loanable,3575,,,
Peter Pan et le Capitaine Crochet,,,,rien,,Walt disney,,Text,,,,Cycle 2,Loanable,3609,,,
Magazine GEO Paris Jamais vu,,,,urbanisme,,,,Text;Periodical,,,,Cycle 2,Loanable,3606,,2023-03-17,
J'aime lire: N° 449 juin 2014,0399-4600,,,rien,,Bayard,2014,Text;Periodical,,,,Cycle 2,Loanable,3618,,,
Un deux pois,,"Malnuit, Françoise",,légume,,Grandir,,Text,,,,Cycle 2,Loanable,3563,,,
Le Petit Prince,978-2-07-061275-8,"Saint Exupéry, Antoine De",,conte|poésie|philosophie,"Le premier soir je me suis donc endormi sur le sable à mille milles de toute terre habitée. J'étais bien plus isolé qu'un naufragé sur un radeau au milieu de l'océan. Alors vous imaginez ma surprise, au lever du jour, quand une drôle de petite voix m'a réveillé. Elle disait : S'il vous plaît... dessine-moi un mouton ! Hein ! - Dessine-moi un mouton... J'ai sauté sur mes pieds comme si j'avais été frappé par la foudre. Le chef-d'oeuvre universel de poésie, d'humanité et d'émotion...",Gallimard,2007,Text,113 pages,Folio junior,100,Elémentaire,Loanable,3611,800.000,,
Sauver la planète !,,,,arbre,,Hatier Jeunesse,,Text,,,,Elémentaire,Loanable,3615,500.000,,
L'école ensorcelée,,"Moreau, Catherine","Cordonnier, Dominique",école,,Tipik cadet,,Text,,,,Elémentaire,Loanable,3523,800.000,,
Dragon Ball n°41,,,,bande dessinée,,Glenat,,Text,,DragonBall,,Elémentaire,Loanable,3524,800.000,,
Larousse Junior,2-03-532070-4,Collectif,,alphabet,"L'outil idéal pour les élèves de l'école élémentaire. Conforme aux nouveaux programmes scolaires, ce dictionnaire pédagogique est l'auxiliaire indispensable à l'apprentissage de la langue française. Il apprend à l'enfant l'utilisation autonome du dictionnaire, lui permet de maîtriser la langue, écrite et orale, et d'enrichir son vocabulaire afin de progresser tous les jours. Le contenu et la présentation ont été soigneusement étudiés pour en faire un ouvrage dynamique et moderne, tout en couleurs et illustré, correspondant aux besoins des enfants d'aujourd'hui :  • des définitions concises et précises • des exemples concrets pour améliorer la compréhension • des synonymes et des contraires pour enrichir le vocabulaire • une présentation claire des familles de mots, sans rompre l'ordre alphabétique • des remarques attirant l'attention sur les difficultés de langue (orthographe, prononciation...) ou apportant des compléments de vocabulaire • en fin d'ouvrage, les tableaux de conjugaisons, un mémento sur l'orthographe et l'emploi des mots  • 2000 illustrations en couleurs (dessins et photographies) • 50 planches thématiques et un atlas du monde.",Larousse,2003,Text,1186 pages,,,Cycle 3,Loanable,3619,030.000,,
Toboggan,0248-2339,,,rien,,Milan,,Text;Periodical,,,,Cycle 3,Loanable,3612,,,
Géo ado,,,,bande dessinée,,Milan,2019,Text,,,,Cycle 3,Loanable,3616,800.000,,
Grands conquérents: L'époque des conquètes,978-2-7459-4056-8,,,Phéniciens,,Milan jeunesse,,Text,,,,Cycle 3,Loanable,3620,939.000,,
Cédric Mon papa est astronaute,,Laudec,"Cauvin, Raoul",humour,,Bibliothèque Rose,,Text,,,,Cycle 3,Loanable,4716,,2023-05-05,
Foot 2 Rue: Tag et Samira l'Histoire des Bleus,,"Leydier, Michel",,football,,Bibliothèque verte,,Text,,,,Cycle 3,Loanable,3614,,2023-05-05,
Moi je lis: Classe verte à l'école préhistorique,,,,histoire,,Milan jeunesse,,Text;Periodical,,,,Cycle 3,Loanable,3695,,2023-05-05,
Poème à fleur de terre,,"Suzzoni, Hélène","Vandevelde, Lucie",poésie,,Orso,,Text,,,,Cycle 3,Loanable,3696,,2023-05-05,
Poème sous le vent,,"Suzzoni, Hélène","Vandevelde, Lucie",poésie,,Les p'tits bérets,,Text,,,,Cycle 3,Loanable,3700,,2023-05-05,
Poèmes sur le fil de l'eau,,"Suzzoni, Hélène","Vandevelde, Lucie",poésie,,Les p'tits bérets,,Text,,,,Cycle 3,Loanable,3699,,2023-05-05,
Poèmes de tiges et de rameaux,,"Suzzoni, Hélène","Vandevelde, Lucie",poésie,,Les p'tits bérets,,Text,,,,Cycle 3,Loanable,3669,,2023-05-05,
32 tours mathématiques pour 32 cartes,,"Souder, Dominique",,mathématiques,,Edition du kangourou,,Text,,,,Cycle 3,Loanable,3698,,2023-05-05,
La grande chorale du monde,,"Morpurgo, Michael","Gravett, Emily",conte,,Ecole des loisirs,,Text,,,,Cycle 3,Loanable,3694,,2023-05-05,
Mordelire: Retour à l'age de pierre,,,,humour,,Milan,,Text;Periodical,,,,Cycle 3,Loanable,3610,,2023-05-05,
"Mordelire: Olive Farce, Le retour",,,,humour,,,,Text;Periodical,,,,Cycle 3,Loanable,3617,,2023-05-05,
Mordelire: Tidididiiit,,,,humour,,Milan,,Text;Periodical,,,,Cycle 3,Loanable,3613,,2023-05-05,
Ronfler comme un sonneur,,"Levy, Marc","Bégu, Florent",expression écrite,,Hachette jeunesse,,Text,,C'est comme ça,,Cycle 3,Loanable,3693,,2023-06-02,
La piste du Désert: Les petits voyageurs à l'aventure,,"DE LESTRADE, Agnès","Latyk, Olivier",aventures,,Nathan,,Text,,,,Cycle 3,Loanable,3691,,,
Toboggan: Liberté curiosité poil au nez,,,,magasin,,,,Text,,,,Cycle 3,Loanable,3688,,,
La fête des Fruits: D'ou viennent tous ces fruits due l'on mange,,"Muller, Gerda","Muller, Gerda",fruit : botanique|légume|bot,,Ecole des loisirs,,Text,,,,Cycle 3,Loanable,3683,,2023-06-16,
Homère à l'école des oiseaux,,"Dalrymphe, Jennifer",,conte,,Ecole des loisirs,,Text,,Ecole des max,,Cycle 3,Loanable,3680,,,
Magazine WAPITI n°409: Touche pas à mon gouter-Avril 2021,,,,écologie,,Milan,,Text,,,,Cycle 3,Loanable,3684,,,
Pourquoi Comment les énergies: Pour répondre aux questions des enfants,,,,énergie,,Fleurus,,Text,,,,Cycle 3,Loanable,3687,,,
Le reflet de Sam et autres pièces: Le bibliobus Théâtre,,,,théâtre,,Hachette jeunesse,,Text,,,,Cycle 3,Loanable,3690,,,
TINTIN Album n°49: L'hebdomadaire des super-jeunes de 7 à 77 ans 600 pages,,Hergé,Hergé,bande dessinée,,,,Text,,,,Cycle 3,Loanable,3685,,2023-06-23,
Mon Atlas Larousse: Des cartes et des images pour voyager autour du monde,,"Delalandre, Benoît","Clapin, Jérémy",atlas géographique,,Larousse,,Text,,,,Cycle 3,Loanable,3686,,,
Les pirates: La grande imagerie,,"Redoules, Stéphanie","Bianchi Carnevale, Andrea",pirate,,Fleurus,,Text,,,,Cycle 3,Loanable,3682,,,
Odile,,"Solotareff, Grégoire",,histoire,,Ecole des loisirs,,Text,,,,Cycle 3,Loanable,3674,,,
Mon Arbre,,"Muller, Gerda",,conte,,Ecole des loisirs,,Text,,,,Cycle 3,Loanable,3677,,,
Odile,,"Solotareff, Grégoire",,contes,,Ecole des loisirs,,Text,,,,Cycle 3,Loanable,3673,,,
Odile,,"Solotareff, Grégoire",,contes,,Ecole des loisirs,,Text,,,,Cycle 3,Loanable,3678,,,
Lou ! L'âge de cristal,,"Neel, Julien",,bande dessinée,,Glenat,,Text,,,,Cycle 3,Loanable,10425,,2023-09-22,
Les blagues de toto: L'école des vannes,,"Coppée, Thierry",,bande dessinée,,Delcourt,,Text,,,,Cycle 3,Loanable,184,,2023-09-22,
Wakou Chut je suis surune piste: N°390,,,,écologie,,Milan,,Text,,,,Cycle 3,Loanable,4353,,2023-09-22,
Les déserts: Willy Wild à la découverte de l'écologie,,,,écologie,,Unique heritage,,Text,,,,Cycle 3,Loanable,3712,,2023-09-22,
Le club des cinq Junior: Enquête sous la neige,,"Blyton, Enid",,aventures,,Bibliothèque verte,20bi,Text,,,,Cycle 3,Loanable,4335,,2023-09-22,
Je suis en CP : Un chien à l'école !: Mes premières lectures niveau 1,,Magdalena,Ristord,lecture,,Castor poche flammarion,,Text,,,,Cycle 3,Loanable,4354,,2023-09-22,
Les mini castor : L'oiseau de pluie,,,,écologie,,Flammarion,,Text,,,,Cycle 3,Loanable,4340,,2023-09-22,
Contes des très grandes plaines,,"Chabas, Jean-François",,Indien d'Amérique du Nord,,Ecole des loisirs,,Text,,,,Cycle 3,Loanable,4332,,2023-09-22,
Minusm@n. net: Animax,,"Brisac, Nathalie",,Internet,,Ecole des loisirs,,Text,,,,Cycle 3,Loanable,4328,,2023-09-22,
La vache amélie : Les mini castor Flammarion,,,,histoire,,,,Text,,,,Cycle 3,Loanable,4348,,,
"Je suis en CE1 : Allez, les champions",,Magdalena,Ristord,sport,,,,Text,,,,Cycle 3,Loanable,4331,,,
Graines de cheffes,,"Lamotte, Lily",,recette de cuisine,,Rue de Sèvres,,Text,,,,Cycle 3,Loanable,4364,,,
Oui-oui à la ferme,,"Blyton, Enid",,agriculture,,Hachette jeunesse,,Text,,,,Cycle 3,Loanable,4342,,,
Ratus père Noël,,"Guion, Jeanine et Jean",,Noël,,Hatier Jeunesse,,Text,,,,Cycle 3,Loanable,4323,,,
Astérix : le secret de la potion magique,,,,Gaule,,Hachette jeunesse,,Text,,,,Cycle 3,Loanable,4338,,,
Le lutin du cabinet noir,,"Chabas, Jean-François",,aventures,,Ecole des max,,Text,,,,Cycle 3,Loanable,4357,,,
Ulysse 15,,"Avel, Christine",,aventures,,Ecole des max,,Text,,,,Cycle 3,Loanable,4333,,,
Les filles de Cùchulainn,,"Chabas, Jean-François",,aventures,,Ecole des max,,Text,,,,Cycle 3,Loanable,4352,,,
Mes parents sont dans ma classe,,"Blanvillain, Luc",,aventures,,,,Text,,,,Cycle 3,Loanable,4356,,,
500 questions réponses,,,,écologie,,,,Text,,,,Cycle 3,Loanable,4337,,,
L'histoire de l'art,,,,art,,Usborne,,Text,,,,Cycle 3,Loanable,4360,,,
Prends garde à toi,,"Chiarello, Fanny",,roman,,Ecole des max,,Text,,,,Cycle 3,Loanable,4341,,,
Les inséparables,,"Gutman, Claude",,famille,,,,Text,,,,Cycle 3,Loanable,4329,,,
Copain du foot,,"Deshors, Michel",,football,,Milan,,Text,,,,Cycle 3,Loanable,4339,,,
Copain des sciences,,"Pince, Robert",,sciences et techno : manuel,,Milan,,Text,,,,Cycle 3,Loanable,4343,,,
Dictionnaire larousse poche,,,,dictionnaire,,Larousse,,Text,,,,Cycle 3,Loanable,4365,,,
Le royaume de la fantaisie: Geronimo stilton,,,,aventures,,Albin Michel,,Text,,,,Cycle 3,Loanable,3697,,,
Zeus à la conquête de l'olympe,,"Montardre, Hélène",,mythologie,,,,Text,,,,Cycle 3,Loanable,3522,,,
"La cane, le renard et les sept canetons",,"Fournout, Sylvie",,conte,,,,Text,,,,Cycle 3,Loanable,4324,,,
En forêt avec Téo et Nina,,"Chavigny, Isabelle",,forêt,,,,Text,,,,Cycle 3,Loanable,4359,,,
Mes enquêtes à l'école des détectives,,"Trédez, Emmanuel",,enquête,,Auzou,,Text,,,,Cycle 3,Loanable,4350,,,
L'énigme de pacha,,"Montardre, Hélène",,enquête,,,,Text,,,,Cycle 3,Loanable,4351,,,
Tika et Tao: Qui suis je ?,,"Chavigny, Isabelle",,roman,,,,Text,,,,Cycle 3,Loanable,4347,,,
Ratus en ballon,,"Guion, Jeanine et Jean",,aventures,,Hatier,,Text,,,,Cycle 3,Loanable,4327,,,
Michka,,,,conte,,Flammarion,,Text,,,,Cycle 3,Loanable,4336,,,
J'aime lire: La nuit des samouraïs,,,,aventures,,,,Text,,,,Cycle 3,Loanable,4358,,,
Casper l'école de la peur: Le monstre du potager,978-2-01-202196-9,,,légende,,Hachette jeunesse,,Text,,,,Cycle 3,Loanable,11093,,,
Le monde de Dory,978-2-01-280437-1,,,poisson,,Hachette jeunesse,,Text,,,,Cycle 3,Loanable,4346,,,
Une histoire de singe: Les mini Castor Flammarion,,"D'Alençon, Max","Chaplet, Kersti",Animaux,,Flammarion,,Text,,Albums du père Castor,,Cycle 3,Loanable,4344,,2023-10-13,
L'arbre des secrets,978-2091227023,"Lestrade, Agnès de","Lebeau, Mathilde",lecture|histoire d'enfants,Deux niveaux de lecture : lire des phrases et lire un texte.,Nathan,2012,Text,24 pages,Un monde à lire,,Cycle 2,Loanable,4355,800.000,2023-10-13,
DragonBall Z 1ere partie: Les Saïyens,,9782723466165,Akira Toriyama,Livre,Cycle 2,,,Text,,,,alphabet,Loanable,3643,,,2023-10-13
Les aventuriers: Lire est une aventure,,,,aventures,,,,Text,,,,Cycle 2,Loanable,10346,,,
Le journal d'Aurore: Jamais contente... toujours fâchée !,,"Desplechin, Marie","Maupré, Agnès",objecteur de conscience,,Rue de Sèvres,,Text,,,,Cycle 2,Loanable,4349,,2023-10-13,
Sally à la montagne,,STEFPHEN hUNECK,,Animaux|montagne : géologie,,,,Text,,,,Cycle 2,Loanable,3562,,,
EYE SHIELD 21: N°1,,,,rien,,Glenat,,Text,,,,Cycle 2,Loanable,3665,,,
Geo Ado Le retour des sorcières N°234,,,,géographie,,,,Text,,,,Cycle 2,Loanable,4366,,,
Les engins de chantier,2-215-08315-8,"Vandewiele, Agnès","Dayan, Jacques",camion,,Fleurus,2005,Text,27 pages,La grande imagerie,,Cycle 3,Loanable,4368,629.200,,
"Hourra, je lis déjà vite !: Des histoires amusantes pour lecteurs débutants",,,,histoire,,,,Text,,,,Cycle 3,Loanable,3349,,,
Astrapi n°1007 La grande histoire des Jeux vidéo,,,,Jeux vidéo,,,,Text;Periodical,,,,Cycle 3,Loanable,4321,,,
Pirouette N°205 Au pays des dinos: Mars 2022,,,,dinosaure,,,,Text;Periodical,,,,Cycle 3,Loanable,100451,,,
Quelle Histoire n°63 Galilée,,,,histoire,,,,Text;Periodical,,,,Cycle 3,Loanable,4363,,,
Géo Ado Juin 2019 2 parents 2 pays,,,,géographie,,,,Text;Periodical,,,,Cycle 3,Loanable,4361,,,
Astrapi Tousségo n°1009 Mars 2023,,,,histoire,,,,Text;Periodical,,,,Cycle 3,Loanable,4325,,,
Astrapi La folle vie de Picasso n°1012 Avril 2023,,,,peinture,,,,Text;Periodical,,,,Cycle 3,Loanable,4322,,,
"Astrzpi Incroyables, ces bébés animaux ! n°1008 Février 2023",,,,Animaux,,,,Text;Periodical,,,,Cycle 3,Loanable,4326,,,
Wapiti n°431 Moi j'adore les bambous !: Février 2023,,,,Animaux,,Milan,,Text;Periodical,,,,Cycle 3,Loanable,4330,,,
Wapiti n°429 Viens avec moi dans la Toundra !,,,,Animaux,,,,Text;Periodical,,,,Cycle 3,Loanable,4334,,,
Wapiti L'ocelot félin indétectable: Milan n°354,,,,Animaux,,Milan,,Text;Periodical,,,,Cycle 3,Loanable,4345,,,
Cinq millards de visage,,"Spier, Peter",,histoire,,,,Text,,,,Cycle 3,Loanable,1254,,,
"Gare à l'ogresse, Hansel et Gretel",,"JARDIN, ALEXANDRE","Le Goff, Hervé",histoire,,,,Text,,,,Cycle 3,Loanable,3670,,,
My Hero Académia Smash Tome 1,9791032710821,"NEDA, Hirofumi",,histoire,,Kioon,,Text,,,,Cycle 3,Loanable,4371,,,
My Hero Academia Smash-Tome 2,9791032711200,"NEDA, Hirofumi",,histoire,,Kioon,,Text,,,,Cycle 3,Loanable,4370,,,
My Hero Academia Smash-Tome 3,9791032711781,"NEDA, Hirofumi",,histoire,,Kioon,,Text,,,,Cycle 3,Loanable,4369,,,
My Hero Academia Smash-Tome 4,9791032712085,"NEDA, Hirofumi",,histoire,,Kioon,,Text,,,,Cycle 3,Loanable,4373,,,
My Hero Academia Smash-Tome 5,9791032713082,"NEDA, Hirofumi",,histoire,,Kioon,,Text,,,,Cycle 3,Loanable,4374,,,
"Même pas peur, vaillant petit tailleur !",979-10-94132-04-3,"JARDIN, ALEXANDRE","Le Goff, Hervé",conte,,Hachette jeunesse,2015,Text,27 pages,Entre dans le conte,5,Cycle 2,Loanable,3671,800.000,,
Nous les enfants de l'archipel,9782211333283,"LINDGREN, Astrid",CROWTHER,jeunesse,,Ecole des loisirs,,Text,,,,Cycle 2,Loanable,4377,,,
Rendez-vous chez Mousse,9782211333214,"LEBOURG, Claire",,histoire,,Ecole des loisirs,,Text,,,,Cycle 2,Loanable,4379,,,
"Frankie, quel cinéma !",9782211333306,"CHARTRES, Marie","Englebert, Jean-Luc",histoire,,Ecole des loisirs,,Text,,,,Cycle 2,Loanable,4389,,,
Le Royaume de la Fantaisie,978-2-226-15934-2,"Stilton, Geronimo",,aventures,"Avez-vous jamais rêvé de voyager au Royaume de la Fantaisie ? Aimeriez-vous rencontrer des Sorcières, des Sirènes, des Dragons, des Lutins, des Gnomes, des Géants, des Fées... mais aussi des Licornes, des trolls, et des Loups-Garous ? Aimeriez-vous voler sur le dos du légendaire Dragon de l'Arc-en-Ciel ? Alors partons ensemble pour ce voyage aventureux sur les ailes de la Fantaisie ! ce livre est le premier au monde avec 8 odeurs ! il contient des pages spéciales : grattez l'image et sentez... vous verrez comme ça pue (ou comme ça sent bon !).",Albin Michel Jeunesse,2009,Text,377 pages,Geronimo Stilton,,Elémentaire,Loanable,4375,800.000,,
Le Royaume de la Fantaisie,978-2-226-15934-2,"Stilton, Geronimo",,aventures,"Avez-vous jamais rêvé de voyager au Royaume de la Fantaisie ? Aimeriez-vous rencontrer des Sorcières, des Sirènes, des Dragons, des Lutins, des Gnomes, des Géants, des Fées... mais aussi des Licornes, des trolls, et des Loups-Garous ? Aimeriez-vous voler sur le dos du légendaire Dragon de l'Arc-en-Ciel ? Alors partons ensemble pour ce voyage aventureux sur les ailes de la Fantaisie ! ce livre est le premier au monde avec 8 odeurs ! il contient des pages spéciales : grattez l'image et sentez... vous verrez comme ça pue (ou comme ça sent bon !).",Albin Michel Jeunesse,2009,Text,377 pages,Geronimo Stilton,,Elémentaire,Loanable,4376,800.000,,
La nature sauvage,9782211333207,"MC CARTHY, STEVE",,histoire,,Pastel,,Text,,,,Elémentaire,Loanable,4381,,,
Quand Cornebidouille était petite,9782211333122,"BERTRAND, Pierrr","Bonniol, Magali",histoire,,Ecole des loisirs,,Text,,,,Elémentaire,Loanable,4382,,,
La Comète,9782211333139,"TODD-STANTON, Joe",,histoire ancienne,,Ecole des loisirs,,Text,,,,Elémentaire,Loanable,4380,,,
Une nuit,9782211333221,"Solotareff, Grégoire","DE MAN, Julien",histoire,,Ecole des loisirs,,Text,,,,Elémentaire,Loanable,4387,,,
Phantom Seer-Tome 1,9782820345752,"GOTO, Togo","MATSUURA, Kento",histoire,,Kazé,,Text,,,,Elémentaire,Loanable,4383,,,
Badass Cop & Dolphin-Tome 1,9782820345769,"TAMURA, Ryuhei",,histoire,,Kazé,,Text,,,,Elémentaire,Loanable,4384,,,
One Piece: Petit Frère,,"Oda, Eiichiro",,histoire,,Glenat,,Text,,,,Elémentaire,Loanable,4386,,,
One Piece: Petit Frère,,"Oda, Eiichiro",,histoire,,Glenat,,Text,,,,Elémentaire,Loanable,4385,,,
La longue marche des dindes,,"Karr, Kathleen","BISCHOFF, Léonie",histoire,,Rue de Sèvres,,Text,,,,Elémentaire,Loanable,4378,,,
Aladin et la lampe magique,9782359900934,,"Lopez, Patricia",conte,,123 soleil,,Text,,,,Elémentaire,Loanable,4401,,,
National Geographic Kids: 45 infos incroyables mais vraies,,,,écologie,,,,Text;Periodical,,,,Elémentaire,Loanable,4388,,,
Mon meilleur copain: J'aime lire,,"Hanon, Christine","Flores, Hervé",sentiment,,Bayard,,Text,,J'aime lire,,Elémentaire,Loanable,4402,,,
Wapiti Touche pas à mon goûter: Avril 2021,,,,Animaux,,Milan,,Text;Periodical,,Wapiti,,Elémentaire,Loanable,4419,,,
Wapiti : Touche pas à mon gouter !: Magazine,,,,zoologie,,Milan,,Text,,,,Elémentaire,Loanable,4420,,,
Wapiti Chut je réflechis n° 414: N°414 Septembre 2021,,,,Animaux,,Milan,2021,Text;Periodical,,Wapiti,414,Elémentaire,Loanable,4417,,,
Wapiti Chut je réflechis n° 414: N°414 Septembre 2021,,,,Animaux,,Milan,2021,Text;Periodical,,Wapiti,414,Elémentaire,Loanable,4418,,,
Wapiti Chut je réflechis n° 414: N°414 Septembre 2021,,,,Animaux,,Milan,2021,Text;Periodical,,Wapiti,414,Elémentaire,Loanable,4415,,,
Wapiti Chut je réflechis n° 414: N°414 Septembre 2021,,,,Animaux,,Milan,2021,Text;Periodical,,Wapiti,414,Elémentaire,Loanable,4416,,,
Wapiti Chut je réflechis n° 414: N°414 Septembre 2021,,,,Animaux,,Milan,2021,Text;Periodical,,Wapiti,414,Elémentaire,Loanable,4413,,,
Wapiti Chut je réflechis n° 414: N°414 Septembre 2021,,,,Animaux,,Milan,2021,Text;Periodical,,Wapiti,414,Elémentaire,Loanable,4414,,,
Wapiti Spécial Croissance: Grandir est un jeu d'enfant,,,,science appliquée,,Milan,1998,Text;Periodical,,Wapiti,134,Elémentaire,Loanable,4412,,,
Wapiti Spécial Croissance: Grandir est un jeu d'enfant,,,,science appliquée,,Milan,1998,Text;Periodical,,Wapiti,134,Elémentaire,Loanable,4411,,,
Wapiti Le papillon sa double vie,,,,Animaux,,Milan,2006,Text;Periodical,,Wapiti,230,Elémentaire,Loanable,4409,,,
Wakou Chut je suis sur une piste,,,,Animaux,,Milan,2021,Text;Periodical,,Wakou,390,Elémentaire,Loanable,4410,,,
National Géographic Kids: Les fantomes des mers,,,,Animaux,,Fleurus,2022,Text;Periodical,,National géographic,62,Elémentaire,Loanable,4408,,,
Mon journal animal n°16 janvier 2024: Les animaux géant,,,,Animaux,,,2024,Text;Periodical,,,,Elémentaire,Loanable,4407,,,
Mon journal animal n°16 janvier 2024: Les animaux géant,,,,Animaux,,,2024,Text;Periodical,,,,Elémentaire,Loanable,4406,,,
National Géographic Kids: Frères et soeurs Complice pour la vie,,,,Animaux,,Fleurus,2024,Text;Periodical,,National géographic,78,Elémentaire,Loanable,4405,,,
Atlas des mystères,,"Sheppard, Sarah",,géographie,,Ecole des loisirs,2024,Text,,Ecole des max,,Elémentaire,Loanable,4403,,,
A quoi reconnait-on un enfant ?,,"Kuperman, Nathalie",,roman,,Ecole des loisirs,2024,Text,,Mouche,,Elémentaire,Loanable,4404,,,
